,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,LSU,13.8,1,9,1,2011,11
1,2,Missouri,9.6,2,65,2,2011,11
2,3,Alabama,9.0,3,70,15,2011,11
3,4,Oregon,8.6,1,6,3,2011,11
4,5,Oklahoma,8.5,3,50,7,2011,11
5,6,Oklahoma St,8.4,3,80,4,2011,11
6,7,Texas A&M,7.8,6,98,13,2011,11
7,8,Arizona,7.5,3,90,5,2011,11
8,9,USC,7.0,3,55,6,2011,11
9,10,Arizona St,6.9,3,112,8,2011,11
10,11,Florida,5.9,6,103,10,2011,11
11,12,Georgia,5.6,2,28,9,2011,11
12,13,Auburn,5.2,7,64,14,2011,11
13,14,Texas,5.0,9,75,16,2011,11
14,15,UCLA,4.9,12,51,20,2011,11
15,16,S Carolina,4.7,9,51,26,2011,11
16,17,Tennessee,4.5,9,106,11,2011,11
17,18,Utah,4.4,17,114,22,2011,11
18,19,Stanford,4.3,4,74,19,2011,11
19,20,Arkansas,4.2,8,108,25,2011,11
20,21,Notre Dame,4.1,6,36,17,2011,11
21,22,Kansas St,3.9,11,120,36,2011,11
22,23,Baylor,3.9,8,63,28,2011,11
23,24,Michigan St,3.3,12,115,12,2011,11
24,25,Oregon St,3.2,19,91,29,2011,11
25,26,Washington,3.0,20,97,33,2011,11
26,27,Ohio State,3.0,15,82,18,2011,11
27,28,Florida St,2.7,9,107,27,2011,11
28,29,Boise State,2.5,2,38,21,2011,11
29,30,Vanderbilt,2.4,29,118,41,2011,11
30,31,Miss State,2.1,12,106,23,2011,11
31,32,Wisconsin,2.0,12,110,24,2011,11
32,33,Tulsa,1.8,1,51,31,2011,11
33,34,Colorado,1.7,21,71,32,2011,11
34,35,California,1.4,14,79,30,2011,11
35,36,Clemson,1.1,24,102,34,2011,11
36,37,Michigan,0.8,29,61,39,2011,11
37,38,S Florida,0.4,22,51,46,2011,11
38,39,Miami (FL),0.1,14,51,40,2011,11
39,40,Northwestern,0.0,35,105,58,2011,11
40,41,Pittsburgh,-0.1,30,112,52,2011,11
41,42,Penn State,-0.1,21,92,45,2011,11
42,43,Mississippi,-0.2,38,78,38,2011,11
43,44,Nebraska,-0.4,16,105,37,2011,11
44,45,Wash State,-0.5,35,120,50,2011,11
45,46,Wake Forest,-0.6,37,94,54,2011,11
46,47,Iowa State,-0.7,23,99,35,2011,11
47,48,BYU,-0.8,13,69,49,2011,11
48,49,Cincinnati,-0.9,35,85,62,2011,11
49,50,Illinois,-0.9,38,82,48,2011,11
50,51,Toledo,-1.2,19,120,42,2011,11
51,52,N Carolina,-1.2,46,114,59,2011,11
52,53,Maryland,-1.3,13,59,43,2011,11
53,54,Texas Tech,-1.3,29,119,65,2011,11
54,55,Marshall,-1.5,10,98,56,2011,11
55,56,W Virginia,-1.5,18,101,47,2011,11
56,57,Purdue,-1.8,53,109,66,2011,11
57,58,Rutgers,-1.9,54,118,63,2011,11
58,59,GA Tech,-2.1,45,115,64,2011,11
59,60,S Methodist,-2.2,5,91,44,2011,11
60,61,TX Christian,-2.4,6,62,53,2011,11
61,62,Nevada,-2.5,1,76,57,2011,11
62,63,Air Force,-2.6,33,103,51,2011,11
63,64,Boston Col,-2.6,26,88,68,2011,11
64,65,NC State,-2.7,41,105,74,2011,11
65,66,Kansas,-2.8,53,113,73,2011,11
66,67,LA Tech,-2.9,39,90,71,2011,11
67,68,VA Tech,-2.9,24,86,67,2011,11
68,69,Syracuse,-3.0,48,94,70,2011,11
69,70,Navy,-3.1,54,112,60,2011,11
70,71,Louisville,-3.1,57,116,78,2011,11
71,72,Virginia,-3.4,70,117,77,2011,11
72,73,Rice,-3.4,13,92,61,2011,11
73,74,Duke,-3.8,63,94,76,2011,11
74,75,Fresno St,-3.9,6,88,69,2011,11
75,76,Connecticut,-4.0,55,109,72,2011,11
76,77,San Diego St,-4.0,31,104,55,2011,11
77,78,Iowa,-4.1,42,110,84,2011,11
78,79,S Mississippi,-5.0,49,106,79,2011,11
79,80,Kentucky,-5.4,57,109,80,2011,11
80,81,Indiana,-5.6,54,117,94,2011,11
81,82,Minnesota,-5.9,17,115,93,2011,11
82,83,San Jose St,-5.9,11,108,75,2011,11
83,84,W Michigan,-6.0,15,84,81,2011,11
84,85,Utah State,-6.2,20,103,87,2011,11
85,86,E Carolina,-6.2,4,88,83,2011,11
86,87,Temple,-6.2,64,119,82,2011,11
87,88,Army,-6.8,28,101,100,2011,11
88,89,N Illinois,-7.0,44,104,104,2011,11
89,90,Central FL,-7.1,45,91,89,2011,11
90,91,UAB,-7.1,2,105,86,2011,11
91,92,LA Monroe,-7.1,5,97,90,2011,11
92,93,Buffalo,-7.2,24,113,96,2011,11
93,94,Ball State,-7.4,45,99,85,2011,11
94,95,North Texas,-7.5,26,114,92,2011,11
95,96,Bowling Grn,-7.5,68,116,91,2011,11
96,97,Houston,-7.6,41,99,97,2011,11
97,98,TX El Paso,-7.9,85,110,98,2011,11
98,99,Troy,-8.2,2,111,99,2011,11
99,100,Miami (OH),-8.5,7,104,88,2011,11
100,101,Arkansas St,-8.7,23,102,95,2011,11
101,102,Fla Atlantic,-9.0,3,115,102,2011,11
102,103,UNLV,-9.5,11,115,108,2011,11
103,104,Hawaii,-9.6,56,107,105,2011,11
104,105,Idaho ,-9.8,67,109,106,2011,11
105,106,Wyoming,-9.9,92,119,111,2011,11
106,107,Kent State,-10.0,6,115,101,2011,11
107,108,Florida Intl,-10.1,53,113,103,2011,11
108,109,Central Mich,-10.5,82,117,107,2011,11
109,110,N Mex State,-10.5,53,119,109,2011,11
110,111,Ohio,-11.4,79,116,116,2011,11
111,112,Middle Tenn,-11.7,15,115,113,2011,11
112,113,W Kentucky,-11.7,38,113,110,2011,11
113,114,Akron,-13.1,21,118,115,2011,11
114,115,LA Lafayette,-13.1,7,116,112,2011,11
115,116,E Michigan,-13.7,85,120,114,2011,11
116,117,Colorado St,-14.3,70,118,117,2011,11
117,118,Tulane,-14.4,102,119,119,2011,11
118,119,Memphis,-14.9,20,120,118,2011,11
119,120,New Mexico,-16.2,71,120,120,2011,11
